point_A,point_B,n_vuelos,lat_A,long_A,lat_B,long_B,description
Colima,Ciudad de Mexico,77,19.24249,-103.7273,19.43194,-99.13315,Se realizaron 77 vuelos entre los aeropuertos de Colima y Ciudad de Mexico en Enero 2022
Colima,Tijuana,78,19.24249,-103.7273,32.53507,-117.04097,Se realizaron 78 vuelos entre los aeropuertos de Colima y Tijuana en Enero 2022
Cozumel,Ciudad de Mexico,122,20.49978,-86.95449,19.43194,-99.13315,Se realizaron 122 vuelos entre los aeropuertos de Cozumel y Ciudad de Mexico en Enero 2022
Culiacan,Guadalajara,164,24.80769,-107.39447,20.68758,-103.35104,Se realizaron 164 vuelos entre los aeropuertos de Culiacan y Guadalajara en Enero 2022
Culiacan,Hermosillo,70,24.80769,-107.39447,29.07455,-110.95912,Se realizaron 70 vuelos entre los aeropuertos de Culiacan y Hermosillo en Enero 2022
Culiacan,La Paz,81,24.80769,-107.39447,24.16185,-110.31322,Se realizaron 81 vuelos entre los aeropuertos de Culiacan y La Paz en Enero 2022
Culiacan,Mexicali,56,24.80769,-107.39447,32.6411,-115.4745,Se realizaron 56 vuelos entre los aeropuertos de Culiacan y Mexicali en Enero 2022
Culiacan,Ciudad de Mexico,381,24.80769,-107.39447,19.43194,-99.13315,Se realizaron 381 vuelos entre los aeropuertos de Culiacan y Ciudad de Mexico en Enero 2022
Culiacan,Monterrey,85,24.80769,-107.39447,25.67093,-100.30999,Se realizaron 85 vuelos entre los aeropuertos de Culiacan y Monterrey en Enero 2022
Culiacan,San José Del Cabo,74,24.80769,-107.39447,23.0769,-109.70915,Se realizaron 74 vuelos entre los aeropuertos de Culiacan y San José Del Cabo en Enero 2022
Culiacan,San Luis Potosi,38,24.80769,-107.39447,22.15271,-100.97663,Se realizaron 38 vuelos entre los aeropuertos de Culiacan y San Luis Potosi en Enero 2022
Culiacan,Tijuana,444,24.80769,-107.39447,32.53507,-117.04097,Se realizaron 444 vuelos entre los aeropuertos de Culiacan y Tijuana en Enero 2022
Del Bajio,Mexicali,18,20.66774,-101.33058,32.6411,-115.4745,Se realizaron 18 vuelos entre los aeropuertos de Del Bajio y Mexicali en Enero 2022
Del Bajio,Ciudad de Mexico,327,20.66774,-101.33058,19.43194,-99.13315,Se realizaron 327 vuelos entre los aeropuertos de Del Bajio y Ciudad de Mexico en Enero 2022
Del Bajio,Monterrey,124,20.66774,-101.33058,25.67093,-100.30999,Se realizaron 124 vuelos entre los aeropuertos de Del Bajio y Monterrey en Enero 2022
Del Bajio,Puerto Vallarta,18,20.66774,-101.33058,20.60841,-105.23525,Se realizaron 18 vuelos entre los aeropuertos de Del Bajio y Puerto Vallarta en Enero 2022
Del Bajio,San José Del Cabo,18,20.66774,-101.33058,23.0769,-109.70915,Se realizaron 18 vuelos entre los aeropuertos de Del Bajio y San José Del Cabo en Enero 2022
Del Bajio,Tijuana,341,20.66774,-101.33058,32.53507,-117.04097,Se realizaron 341 vuelos entre los aeropuertos de Del Bajio y Tijuana en Enero 2022
Durango,Guadalajara,26,24.00683,-104.68135,20.68758,-103.35104,Se realizaron 26 vuelos entre los aeropuertos de Durango y Guadalajara en Enero 2022
Durango,Ciudad de Mexico,217,24.00683,-104.68135,19.43194,-99.13315,Se realizaron 217 vuelos entre los aeropuertos de Durango y Ciudad de Mexico en Enero 2022
Durango,Tijuana,94,24.00683,-104.68135,32.53507,-117.04097,Se realizaron 94 vuelos entre los aeropuertos de Durango y Tijuana en Enero 2022
Guadalajara,Hermosillo,163,20.68758,-103.35104,29.07455,-110.95912,Se realizaron 163 vuelos entre los aeropuertos de Guadalajara y Hermosillo en Enero 2022
Guadalajara,La Paz,134,20.68758,-103.35104,24.16185,-110.31322,Se realizaron 134 vuelos entre los aeropuertos de Guadalajara y La Paz en Enero 2022
Guadalajara,Los Mochis,37,20.68758,-103.35104,25.79269,-108.98897,Se realizaron 37 vuelos entre los aeropuertos de Guadalajara y Los Mochis en Enero 2022
Guadalajara,Mazatlan,18,20.68758,-103.35104,23.2,-106.42175,Se realizaron 18 vuelos entre los aeropuertos de Guadalajara y Mazatlan en Enero 2022
Guadalajara,Merida,102,20.68758,-103.35104,20.9667,-89.62317,Se realizaron 102 vuelos entre los aeropuertos de Guadalajara y Merida en Enero 2022
Guadalajara,Mexicali,251,20.68758,-103.35104,32.6411,-115.4745,Se realizaron 251 vuelos entre los aeropuertos de Guadalajara y Mexicali en Enero 2022
Guadalajara,Ciudad de Mexico,1529,20.68758,-103.35104,19.43194,-99.13315,"Se realizaron 1,529 vuelos entre los aeropuertos de Guadalajara y Ciudad de Mexico en Enero 2022"
Guadalajara,Monterrey,426,20.68758,-103.35104,25.67093,-100.30999,Se realizaron 426 vuelos entre los aeropuertos de Guadalajara y Monterrey en Enero 2022
Guadalajara,Oaxaca,34,20.68758,-103.35104,17.06173,-96.7261,Se realizaron 34 vuelos entre los aeropuertos de Guadalajara y Oaxaca en Enero 2022
Guadalajara,Puebla,42,20.68758,-103.35104,19.04386,-98.19756,Se realizaron 42 vuelos entre los aeropuertos de Guadalajara y Puebla en Enero 2022
