city,country,n_vuelos,lat,long,description
Sacramento,United States,18,38.57944,-121.49085,Se realizaron 18 vuelos entre los aeropuertos de Del Bajio (Mexico) y Sacramento (United States) en Enero 2022
San Antonio,United States,18,29.42458,-98.49461,Se realizaron 18 vuelos entre los aeropuertos de Del Bajio (Mexico) y San Antonio (United States) en Enero 2022
San Jose,United States,18,37.33865,-121.88542,Se realizaron 18 vuelos entre los aeropuertos de Del Bajio (Mexico) y San Jose (United States) en Enero 2022
Hong Kong,nan,8,32.53777,-117.04008,Se realizaron 8 vuelos entre los aeropuertos de Guadalajara (Mexico) y Hong Kong (nan) en Enero 2022
Houston,United States,278,29.76078,-95.36952,Se realizaron 278 vuelos entre los aeropuertos de Guadalajara (Mexico) y Houston (United States) en Enero 2022
Las Vegas,United States,80,36.17193,-115.14001,Se realizaron 80 vuelos entre los aeropuertos de Guadalajara (Mexico) y Las Vegas (United States) en Enero 2022
Los Angeles,United States,593,34.05357,-118.24545,Se realizaron 593 vuelos entre los aeropuertos de Guadalajara (Mexico) y Los Angeles (United States) en Enero 2022
Louisville,United States,26,38.25489,-85.76666,Se realizaron 26 vuelos entre los aeropuertos de Guadalajara (Mexico) y Louisville (United States) en Enero 2022
Luxemburgo,Luxembourg,35,49.776828429,6.092325247,Se realizaron 35 vuelos entre los aeropuertos de Guadalajara (Mexico) y Luxemburgo (Luxembourg) en Enero 2022
Madrid,Spain,27,40.41955,-3.69196,Se realizaron 27 vuelos entre los aeropuertos de Guadalajara (Mexico) y Madrid (Spain) en Enero 2022
Mc Allen,United States,18,26.2077,-98.22931,Se realizaron 18 vuelos entre los aeropuertos de Guadalajara (Mexico) y Mc Allen (United States) en Enero 2022
Memphis,United States,54,35.14976,-90.04925,Se realizaron 54 vuelos entre los aeropuertos de Guadalajara (Mexico) y Memphis (United States) en Enero 2022
Miami,United States,18,25.77481,-80.19773,Se realizaron 18 vuelos entre los aeropuertos de Guadalajara (Mexico) y Miami (United States) en Enero 2022
Nueva York,United States,31,40.71453,-74.00712,Se realizaron 31 vuelos entre los aeropuertos de Guadalajara (Mexico) y Nueva York (United States) en Enero 2022
Oakland,United States,92,37.80508,-122.27307,Se realizaron 92 vuelos entre los aeropuertos de Guadalajara (Mexico) y Oakland (United States) en Enero 2022
Ontario,United States,65,34.06457,-117.6481,Se realizaron 65 vuelos entre los aeropuertos de Guadalajara (Mexico) y Ontario (United States) en Enero 2022
Orlando,United States,26,28.53823,-81.37739,Se realizaron 26 vuelos entre los aeropuertos de Guadalajara (Mexico) y Orlando (United States) en Enero 2022
Panama,Panama,40,8.93960446,-79.972926137,Se realizaron 40 vuelos entre los aeropuertos de Guadalajara (Mexico) y Panama (Panama) en Enero 2022
Paris,France,4,48.863697576,2.361657337,Se realizaron 4 vuelos entre los aeropuertos de Guadalajara (Mexico) y Paris (France) en Enero 2022
