,latitude,longitude,confidence,satellite,acq_date,daynight
297,27.16648,71.84142,78,A,2023-11-08,D
298,27.16257,71.8179,82,A,2023-11-08,D
299,27.17018,71.80408,75,A,2023-11-08,D
300,27.18753,71.84903,72,A,2023-11-08,D
301,27.17975,71.80199,69,A,2023-11-08,D
302,27.00524,70.2462,53,A,2023-11-08,D
303,28.78852,79.2873,63,A,2023-11-08,D
304,28.93881,79.39827,67,A,2023-11-08,D
305,28.92133,76.40597,56,A,2023-11-08,D
306,29.54387,77.1702,52,A,2023-11-08,D
307,29.48683,76.59538,62,A,2023-11-08,D
308,29.4854,76.58394,71,A,2023-11-08,D
309,29.47901,76.45738,69,A,2023-11-08,D
310,29.50218,76.07308,63,A,2023-11-08,D
311,29.51631,76.03712,68,A,2023-11-08,D
312,29.51489,76.02621,58,A,2023-11-08,D
313,29.57824,76.29727,78,A,2023-11-08,D
314,29.60602,76.16093,57,A,2023-11-08,D
315,29.6046,76.14988,74,A,2023-11-08,D
316,29.3492,73.96191,79,A,2023-11-08,D
317,29.65189,76.00697,60,A,2023-11-08,D
318,29.50761,74.94217,68,A,2023-11-08,D
319,29.63662,75.82098,67,A,2023-11-08,D
320,29.66158,75.9384,74,A,2023-11-08,D
321,29.66915,75.9426,82,A,2023-11-08,D
322,29.66774,75.93172,75,A,2023-11-08,D
323,29.63816,75.70526,65,A,2023-11-08,D
324,29.73871,76.33793,60,A,2023-11-08,D
325,29.73068,76.05499,68,A,2023-11-08,D
326,29.74962,75.98443,70,A,2023-11-08,D
327,29.74818,75.9735,72,A,2023-11-08,D
328,29.49365,74.13617,73,A,2023-11-08,D
329,29.49218,74.12606,64,A,2023-11-08,D
330,29.77909,76.13694,92,A,2023-11-08,D
331,29.77763,76.12587,94,A,2023-11-08,D
332,29.75157,75.92828,84,A,2023-11-08,D
333,29.7687,75.99683,85,A,2023-11-08,D
334,29.59051,74.67336,58,A,2023-11-08,D
335,29.56178,74.47004,78,A,2023-11-08,D
336,29.78923,76.08326,59,A,2023-11-08,D
337,29.78072,76.01719,52,A,2023-11-08,D
338,29.70684,75.31817,61,A,2023-11-08,D
339,29.82977,76.17831,66,A,2023-11-08,D
340,29.80686,76.00143,63,A,2023-11-08,D
341,29.78689,75.84875,70,A,2023-11-08,D
342,29.81605,75.99984,83,A,2023-11-08,D
343,29.7305,75.35686,68,A,2023-11-08,D
344,29.72908,75.34636,74,A,2023-11-08,D
345,29.98314,77.1678,65,A,2023-11-08,D
346,29.79423,75.69299,78,A,2023-11-08,D
347,29.79758,75.64855,64,A,2023-11-08,D
348,29.88626,76.24863,58,A,2023-11-08,D
349,29.83545,75.86246,73,A,2023-11-08,D
350,29.83257,75.84075,85,A,2023-11-08,D
351,29.89263,76.25336,61,A,2023-11-08,D
352,29.85789,75.90856,69,A,2023-11-08,D
353,29.83808,75.75665,65,A,2023-11-08,D
354,29.89692,76.13837,85,A,2023-11-08,D
355,29.84779,75.68885,67,A,2023-11-08,D
356,29.88537,75.90377,81,A,2023-11-08,D
357,29.91603,76.06701,79,A,2023-11-08,D
358,29.9146,76.05595,54,A,2023-11-08,D
359,29.83748,75.47237,61,A,2023-11-08,D
360,29.83606,75.46179,63,A,2023-11-08,D
361,29.87935,75.7163,62,A,2023-11-08,D
362,29.87792,75.70554,54,A,2023-11-08,D
363,29.91861,75.94272,83,A,2023-11-08,D
364,29.91717,75.93177,54,A,2023-11-08,D
365,29.91574,75.92083,64,A,2023-11-08,D
366,29.86269,75.52219,67,A,2023-11-08,D
367,29.81127,75.14392,64,A,2023-11-08,D
368,29.9495,76.10659,69,A,2023-11-08,D
369,29.93935,76.02909,93,A,2023-11-08,D
370,29.93212,75.97404,78,A,2023-11-08,D
371,29.93068,75.96306,53,A,2023-11-08,D
372,29.92058,75.88647,55,A,2023-11-08,D
373,29.91914,75.87556,74,A,2023-11-08,D
374,29.91049,75.81033,78,A,2023-11-08,D
375,29.94566,76.00544,83,A,2023-11-08,D
376,29.92396,75.84131,58,A,2023-11-08,D
377,29.87074,75.44475,67,A,2023-11-08,D
378,29.96669,76.10827,80,A,2023-11-08,D
379,29.93272,75.84418,62,A,2023-11-08,D
380,29.91154,75.68187,61,A,2023-11-08,D
381,29.92488,75.71257,77,A,2023-11-08,D
382,29.99089,76.14967,72,A,2023-11-08,D
383,29.98946,76.1385,74,A,2023-11-08,D
384,29.97947,76.06066,66,A,2023-11-08,D
385,29.96523,75.95033,71,A,2023-11-08,D
386,29.95528,75.87369,63,A,2023-11-08,D
387,29.95162,75.77422,73,A,2023-11-08,D
388,29.94878,75.75256,76,A,2023-11-08,D
389,29.91894,75.5272,60,A,2023-11-08,D
390,29.90475,75.42107,55,A,2023-11-08,D
391,29.86784,75.14819,55,A,2023-11-08,D
392,29.3028,71.42759,65,A,2023-11-08,D
393,29.99792,76.05747,54,A,2023-11-08,D
394,29.99648,76.04639,64,A,2023-11-08,D
395,29.98789,75.98013,69,A,2023-11-08,D
396,29.95077,75.69697,96,A,2023-11-08,D
397,29.98132,75.85798,51,A,2023-11-08,D
398,29.97989,75.84707,81,A,2023-11-08,D
399,29.95701,75.67382,70,A,2023-11-08,D
400,29.95559,75.66307,73,A,2023-11-08,D
401,29.95131,75.63085,69,A,2023-11-08,D
402,29.94988,75.62012,73,A,2023-11-08,D
403,29.98473,75.81281,66,A,2023-11-08,D
404,29.98525,75.74614,87,A,2023-11-08,D
405,29.95371,75.51009,52,A,2023-11-08,D
406,29.95228,75.49945,58,A,2023-11-08,D
407,30.03627,76.06219,90,A,2023-11-08,D
408,29.95559,75.45535,84,A,2023-11-08,D
409,29.95273,75.43414,67,A,2023-11-08,D
410,30.01071,75.79714,69,A,2023-11-08,D
411,30.03959,75.96542,61,A,2023-11-08,D
412,29.98732,75.56396,67,A,2023-11-08,D
413,29.95346,75.30939,71,A,2023-11-08,D
414,30.0346,75.8541,60,A,2023-11-08,D
415,30.02185,75.75615,83,A,2023-11-08,D
416,29.95114,75.22376,57,A,2023-11-08,D
417,29.94547,75.18191,70,A,2023-11-08,D
418,30.06368,76.00639,70,A,2023-11-08,D
419,30.06083,75.98428,85,A,2023-11-08,D
420,30.05941,75.97325,80,A,2023-11-08,D
421,30.01821,75.6573,73,A,2023-11-08,D
422,29.99837,75.50735,59,A,2023-11-08,D
423,29.98845,75.43293,81,A,2023-11-08,D
424,29.98704,75.42233,77,A,2023-11-08,D
425,30.11018,76.29613,61,A,2023-11-08,D
426,30.07718,76.03802,73,A,2023-11-08,D
427,30.05862,75.89467,63,A,2023-11-08,D
428,30.11951,76.29454,87,A,2023-11-08,D
429,30.11806,76.2832,72,A,2023-11-08,D
430,30.08354,76.01427,98,A,2023-11-08,D
431,30.08211,76.0032,92,A,2023-11-08,D
432,30.05779,75.81655,77,A,2023-11-08,D
433,30.05636,75.80566,74,A,2023-11-08,D
434,30.0478,75.74049,76,A,2023-11-08,D
435,30.03213,75.62182,51,A,2023-11-08,D
436,30.01078,75.46155,70,A,2023-11-08,D
437,30.00936,75.45092,80,A,2023-11-08,D
438,30.16673,76.59255,62,A,2023-11-08,D
439,30.13899,76.37276,56,A,2023-11-08,D
440,30.05692,75.73888,64,A,2023-11-08,D
441,30.04407,75.64171,80,A,2023-11-08,D
442,30.03265,75.55589,66,A,2023-11-08,D
443,30.0013,75.32233,77,A,2023-11-08,D
444,29.9842,75.1963,81,A,2023-11-08,D
445,29.96281,75.03991,74,A,2023-11-08,D
446,29.94138,74.88464,68,A,2023-11-08,D
